CodJudet,Entropia
AB,1.9997997826974565
AG,1.9998368351626248
AR,1.9997952258473506
B,1.9971695546953199
BC,1.99957006686526
BH,1.9998651931141864
BN,1.9998937603061877
BR,1.998882730428007
BT,1.999320456572546
BV,1.9998988461565788
BZ,1.999047821593897
CJ,1.9997570432047818
CL,1.999598769962291
CS,1.998897495245204
CT,1.9999562888772404
CV,1.9998617565243373
DB,1.999597095475592
DJ,1.9998626755789233
GJ,1.998976719325709
GL,1.9992689098676646
GR,1.9997193529406208
HD,1.9992068729664678
HR,1.9999334696048179
IF,1.9993725098771207
IL,1.9993977000261975
IS,1.9998747837561155
MH,1.9990678948514153
MM,1.9996642947122267
MS,1.9998599030727524
NT,1.9997947905283477
OT,1.999274245497354
PH,1.999506969866908
SB,1.9999606759223543
SJ,1.9999417486468691
SM,1.9998572746127703
SV,1.9998760316266064
TL,1.999462072571972
TM,1.9998797989534194
TR,1.999348090510878
VL,1.999536985817205
VN,1.9998622102513497
VS,1.9987401468658936
