CodJudet,Invsimpson
AB,3.9988928865476816
AG,3.9990943601953415
AR,3.998864039403786
B,3.9847463861478065
BC,3.997612205867212
BH,3.999252813125921
BN,3.9994117356483767
BR,3.9937944882889163
BT,3.9962124494554363
BV,3.999436891517827
BZ,3.9947223010082333
CJ,3.9986487342276384
CL,3.997762114520163
CS,3.993866247211806
CT,3.9997578087451284
CV,3.999231988233704
DB,3.997758786518343
DJ,3.99923732050185
GJ,3.9942980775286356
GL,3.995932601892379
GR,3.9984429851056404
HD,3.9955836699952303
HR,3.9996305915432293
IF,3.9964926910785814
IL,3.9966590802824737
IS,3.999303858703942
MH,3.994804234189105
MM,3.998135214407793
MS,3.999221935119655
NT,3.998858975206798
OT,3.9959584204800476
PH,3.997257292603656
SB,3.9997820428398776
SJ,3.9996772204175324
SM,3.9992060366620974
SV,3.999312551447696
TL,3.997006430953067
TM,3.999330538008038
TR,3.996370701556841
VL,3.9974289345875933
VN,3.999234470348307
VS,3.9930004280310936
