Judete,2018,2019,2020,2021
Alba,-12535.52380952381,-12344.0,-12203.642857142855,-11318.190476190473
Arad,-5134.523809523809,-5010.0,-5131.642857142855,-4569.190476190473
Arges,9035.47619047619,9088.0,8737.357142857145,9142.809523809527
Bacau,14529.47619047619,13750.0,12634.357142857145,13646.809523809527
Bihor,10674.47619047619,10613.0,10327.357142857145,11234.809523809527
Bistrita-Nasaud,-13050.52380952381,-12627.0,-12182.642857142855,-11304.190476190473
Botosani,-1893.5238095238092,-2702.0,-3183.642857142855,-2776.1904761904734
Brasov,9481.47619047619,10490.0,10993.357142857145,12468.809523809527
Braila,-14759.52380952381,-14939.0,-15129.642857142855,-15512.190476190473
Buzau,-3133.523809523809,-3724.0,-3861.642857142855,-4926.190476190473
Caras-Severin,-19569.52380952381,-19638.0,-19871.642857142855,-19586.190476190473
Calarasi,-13453.52380952381,-13674.0,-13351.642857142855,-13293.190476190473
Cluj,12740.47619047619,14066.0,15447.357142857145,16940.809523809527
Constanta,21461.47619047619,21484.0,21742.357142857145,22743.809523809527
Covasna,-19729.52380952381,-19296.0,-18858.642857142855,-18745.190476190473
Dambovita,618.4761904761908,270.0,-79.64285714285506,62.80952380952658
Dolj,9174.47619047619,9122.0,8975.357142857145,9391.809523809527
Galati,3723.476190476191,2956.0,2316.357142857145,2015.8095238095266
Giurgiu,-17084.52380952381,-16868.0,-16297.642857142855,-15147.190476190473
Gorj,-12740.52380952381,-13177.0,-13468.642857142855,-13438.190476190473
Harghita,-10611.52380952381,-10197.0,-9780.642857142855,-9619.190476190473
Hunedoara,-10484.52380952381,-10845.0,-11180.642857142855,-11031.190476190473
Ialomita,-17239.52380952381,-16950.0,-16973.642857142855,-17155.190476190473
Iasi,35081.47619047619,34482.0,34261.357142857145,34344.80952380953
Ilfov,-5879.523809523809,-4922.0,-3610.642857142855,-1732.1904761904734
Maramures,-1826.5238095238092,-2174.0,-2459.642857142855,-1669.1904761904734
Mehedinti,-20618.52380952381,-20703.0,-20596.642857142855,-20575.190476190473
Mures,9146.47619047619,9078.0,8921.357142857145,9366.809523809527
Neamt,-52.52380952380918,-298.0,-278.64285714285506,251.80952380952658
Olt,-8354.52380952381,-8806.0,-9199.642857142855,-8882.190476190473
Prahova,20613.47619047619,19594.0,18591.357142857145,18520.809523809527
Satu Mare,-10099.52380952381,-10126.0,-9661.642857142855,-9250.190476190473
Salaj,-19227.52380952381,-18767.0,-18177.642857142855,-17775.190476190473
Sibiu,-3445.523809523809,-3012.0,-2453.642857142855,-1720.1904761904734
Suceava,23262.47619047619,22926.0,23291.357142857145,25374.809523809527
Teleorman,-15332.52380952381,-15455.0,-15545.642857142855,-15294.190476190473
Timis,12597.47619047619,13262.0,13831.357142857145,15592.809523809527
Tulcea,-21769.52380952381,-21576.0,-21337.642857142855,-21273.190476190473
Vaslui,-2335.523809523809,-3027.0,-3951.642857142855,-4415.190476190473
Valcea,-12111.52380952381,-12042.0,-12299.642857142855,-11887.190476190473
Vrancea,-11205.52380952381,-11003.0,-10707.642857142855,-10371.190476190473
Municipiul Bucuresti,111538.47619047618,112721.0,111765.35714285714,92166.80952380953
